,Protein_key,Sequence_Length,Aromaticity,Sec_Struct_Helix,Sec_Struct_Turn,Sec_Struct_Sheet,Percent_A,Percent_C,Percent_D,Percent_E,Percent_F,Percent_G,Percent_H,Percent_I,Percent_K,Percent_L,Percent_M,Percent_N,Percent_P,Percent_Q,Percent_R,Percent_S,Percent_T,Percent_V,Percent_W,Percent_Y,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering,predict_xgboost,predict_rfc,string_protein_id,preferred_name,protein_size,annotation
0,6183.Smp_000020.1,1092,0.0796703296703296,0.336080586080586,0.3534798534798535,0.3104395604395604,0.0695970695970696,0.0256410256410256,0.0549450549450549,0.0595238095238095,0.0393772893772893,0.0494505494505494,0.021062271062271,0.054029304029304,0.0302197802197802,0.1025641025641025,0.0219780219780219,0.0476190476190476,0.0833333333333333,0.0311355311355311,0.0512820512820512,0.0879120879120879,0.065018315018315,0.065018315018315,0.0128205128205128,0.0274725274725274,0.0102426725496375,0.0020980849098289,2.861442267350442e-06,0.4353676549954219,0.3225961538461538,0,0,6183.Smp_000020.1,Smp_000020,1092,"Hyaluronidase, putative "
1,6183.Smp_000030.1,995,0.0633165829145728,0.3849246231155778,0.328643216080402,0.28643216080402,0.0743718592964824,0.0211055276381909,0.057286432160804,0.0723618090452261,0.0241206030150753,0.0653266331658291,0.0301507537688442,0.0442211055276381,0.0542713567839195,0.128643216080402,0.0311557788944723,0.0402010050251256,0.0422110552763819,0.0331658291457286,0.0452261306532663,0.0693467336683417,0.0723618090452261,0.0552763819095477,0.0080402010050251,0.0311557788944723,0.12921525370312,0.0224589632040535,0.0002692965828055,0.5201345550986886,0.3612674588284344,1,1,6183.Smp_000030.1,Smp_000030.1,995,"26s proteasome regulatory particle subunit,putative "
2,6183.Smp_000040.1,413,0.0653753026634382,0.4261501210653753,0.3220338983050847,0.2518159806295399,0.0871670702179176,0.0145278450363196,0.0605326876513317,0.0799031476997578,0.009685230024213,0.036319612590799,0.0217917675544794,0.0484261501210653,0.0847457627118644,0.1234866828087167,0.0169491525423728,0.0508474576271186,0.0242130750605326,0.0629539951573849,0.0556900726392251,0.0653753026634382,0.0411622276029055,0.0605326876513317,0.0121065375302663,0.0435835351089588,0.1418216199180586,0.0233533557475773,0.0003843262596333,0.5260888121375621,0.3086070943023112,1,1,6183.Smp_000040.1,Smp_000040,413,"Kinesin light chain, putative "
3,6183.Smp_000050.1,1376,0.0922965116279069,0.3372093023255814,0.3313953488372093,0.3313953488372093,0.0574127906976744,0.0130813953488372,0.0450581395348837,0.0726744186046511,0.0436046511627907,0.0479651162790697,0.0239825581395348,0.0777616279069767,0.0734011627906976,0.1017441860465116,0.0254360465116279,0.035610465116279,0.0523255813953488,0.035610465116279,0.0443313953488372,0.0770348837209302,0.0675872093023255,0.0566860465116279,0.0159883720930232,0.032703488372093,0.0149700598802395,0.0019330208666726,1.656586820062573e-05,0.4402944064369835,0.3231802911534154,1,1,6183.Smp_000050.1,Smp_000050,1376,"Transient receptor potential cation channel,putative "
4,6183.Smp_000070.1,263,0.1216730038022813,0.3155893536121673,0.3193916349809885,0.365019011406844,0.0760456273764258,0.0228136882129277,0.0342205323193916,0.0418250950570342,0.0722433460076045,0.0494296577946768,0.0228136882129277,0.0836501901140684,0.091254752851711,0.0874524714828897,0.0456273764258555,0.0304182509505703,0.0494296577946768,0.026615969581749,0.0380228136882129,0.0646387832699619,0.0380228136882129,0.0760456273764258,0.0114068441064638,0.0380228136882129,0.0474314528837062,0.0034813423798553,0.0004887735919342,0.4893141447664771,0.1525581395348837,0,1,6183.Smp_000070.1,slc1,263,1-acyl-sn-glycerol-3-phosphate o-acyltransferase ; Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family
5,6183.Smp_000075.1,328,0.0914634146341463,0.2652439024390243,0.4298780487804878,0.3048780487804878,0.0304878048780487,0.0030487804878048,0.0609756097560975,0.048780487804878,0.048780487804878,0.0274390243902439,0.024390243902439,0.0975609756097561,0.0609756097560975,0.073170731707317,0.0182926829268292,0.1371951219512195,0.0335365853658536,0.0518292682926829,0.0426829268292682,0.1097560975609756,0.0640243902439024,0.024390243902439,0.0060975609756097,0.0365853658536585,0.0430192247084777,0.0077239585614511,2.666600427036131e-05,0.4692564284364269,0.4844861021331609,1,1,6183.Smp_000075.1,Smp_000075,328,"Transcription factor, putative "
6,6183.Smp_000080.1,111,0.0990990990990991,0.3873873873873873,0.2972972972972972,0.3153153153153152,0.045045045045045,0.009009009009009,0.045045045045045,0.063063063063063,0.081081081081081,0.009009009009009,0.036036036036036,0.063063063063063,0.072072072072072,0.1441441441441441,0.045045045045045,0.072072072072072,0.018018018018018,0.036036036036036,0.054054054054054,0.081081081081081,0.045045045045045,0.063063063063063,0.0,0.018018018018018,0.0006303183107469,4.29007214541433e-05,0.0,0.3424406387860859,1.0,0,0,6183.Smp_000080.1,Smp_000080,111,"SNARE complex protein, putative "
7,6183.Smp_000100.1,2336,0.0732020547945205,0.2675513698630137,0.3878424657534246,0.3446061643835617,0.0612157534246575,0.0171232876712328,0.0535102739726027,0.0517979452054794,0.0372431506849315,0.1053082191780822,0.0282534246575342,0.0500856164383561,0.0363869863013698,0.0488013698630137,0.0141267123287671,0.047945205479452,0.0851883561643835,0.040667808219178,0.0509417808219178,0.0595034246575342,0.0779109589041096,0.0980308219178082,0.0012842465753424,0.0346746575342465,0.1361487551213362,0.0218209598847584,0.0003826635819675,0.5223622955537691,0.3475306853783099,0,1,6183.Smp_000100.1,Smp_187910,2336,Filamin 
8,6183.Smp_000110.1,1280,0.0640625,0.31953125,0.3828125,0.2976562499999999,0.0546875,0.02109375,0.0609375,0.046875,0.034375,0.04921875,0.01640625,0.0609375,0.0546875,0.11015625,0.015625,0.06640625,0.05,0.04140625,0.05078125,0.1015625,0.065625,0.06953125,0.0109375,0.01875,0.1276394579262527,0.013493287833585,0.0005552255213796,0.5113691848345678,0.3057882769460849,1,1,6183.Smp_000110.1,Smp_000110,1280,Similar to elongation factor Tu GTP binding domain containing 1 isoform 6-related 
9,6183.Smp_000130.1,822,0.0961070559610705,0.3223844282238443,0.3734793187347931,0.3041362530413625,0.0450121654501216,0.0291970802919708,0.0559610705596107,0.0571776155717761,0.048661800486618,0.0377128953771289,0.0255474452554744,0.0608272506082725,0.0535279805352798,0.1240875912408759,0.0194647201946472,0.0583941605839416,0.0559610705596107,0.0206812652068126,0.0559610705596107,0.1119221411192214,0.0474452554744525,0.0450121654501216,0.0097323600973236,0.0377128953771289,0.0162306965017333,0.0016725173100596,8.33688932880385e-05,0.4565875183814478,0.2179706834189986,1,1,6183.Smp_000130.1,Smp_000130.1,822,Hormone-sensitive lipase (S09 family) 
10,6183.Smp_000150.1,730,0.0684931506849315,0.3,0.4232876712328767,0.2767123287671232,0.0410958904109589,0.0246575342465753,0.0657534246575342,0.0575342465753424,0.0260273972602739,0.047945205479452,0.0191780821917808,0.0534246575342465,0.0616438356164383,0.0753424657534246,0.0260273972602739,0.0589041095890411,0.0794520547945205,0.0328767123287671,0.0671232876712328,0.1095890410958904,0.0630136986301369,0.047945205479452,0.0082191780821917,0.0342465753424657,0.0126063662149385,0.002290735038743,2.1260160233502035e-06,0.4206128551743142,0.7117088607594937,1,0,6183.Smp_000150.1,Smp_000150,730,PHD zinc finger protein XAP135-related 
11,6183.Smp_000170.1,185,0.0756756756756756,0.254054054054054,0.372972972972973,0.372972972972973,0.027027027027027,0.0054054054054054,0.0864864864864864,0.0702702702702702,0.0432432432432432,0.0648648648648648,0.0162162162162162,0.1027027027027027,0.0972972972972973,0.081081081081081,0.0162162162162162,0.0486486486486486,0.0108108108108108,0.0378378378378378,0.0216216216216216,0.0648648648648648,0.0864864864864864,0.0864864864864864,0.0054054054054054,0.027027027027027,0.1311062086353608,0.0218958662959856,0.000347647065952,0.5206897069226857,0.3410800240673887,1,1,6183.Smp_000170.1,Smp_000170,185,"Neurocalcin, putative "
12,6183.Smp_000180.1,102,0.1176470588235294,0.3529411764705882,0.3333333333333333,0.3137254901960785,0.0490196078431372,0.0098039215686274,0.0392156862745098,0.0588235294117647,0.0686274509803921,0.0490196078431372,0.0196078431372549,0.0686274509803921,0.0686274509803921,0.1274509803921568,0.0392156862745098,0.0490196078431372,0.0392156862745098,0.0294117647058823,0.0490196078431372,0.088235294117647,0.0588235294117647,0.0392156862745098,0.0,0.0490196078431372,0.1218090135518436,0.0209914623576489,0.000229834137346,0.5161133325454353,0.3607839720086601,1,1,6183.Smp_000180.1,Smp_000180,102,Similar to potassium channel-interacting protein 4 isoform 4-related 
13,6183.Smp_000190.1,338,0.0917159763313609,0.3284023668639053,0.3047337278106509,0.3668639053254438,0.059171597633136,0.029585798816568,0.0473372781065088,0.0532544378698224,0.0502958579881656,0.0473372781065088,0.0266272189349112,0.0769230769230769,0.0680473372781065,0.1183431952662721,0.0236686390532544,0.0414201183431952,0.0384615384615384,0.0266272189349112,0.0473372781065088,0.0621301775147929,0.044378698224852,0.0976331360946745,0.0029585798816568,0.0384615384615384,0.0395524739993696,0.002353063769995,0.0001394334981334,0.4757689895212536,0.2689402390438247,1,1,6183.Smp_000190.1,Smp_000190,338,"Oxidoreductase, short chain dehydrogenase/reductase family, putative ; Belongs to the short-chain dehydrogenases/reductases (SDR) family"
14,6183.Smp_000240.1,548,0.0784671532846715,0.3394160583941605,0.437956204379562,0.2226277372262773,0.1167883211678832,0.0127737226277372,0.0273722627737226,0.0218978102189781,0.0456204379562043,0.1350364963503649,0.010948905109489,0.0346715328467153,0.0218978102189781,0.0547445255474452,0.0346715328467153,0.0766423357664233,0.0711678832116788,0.0693430656934306,0.041970802919708,0.1058394160583941,0.041970802919708,0.0437956204379562,0.0091240875912408,0.0237226277372262,0.0642924676961865,0.0094218281126375,0.0001161150959249,0.4891631801248215,0.3800886447945271,1,1,6183.Smp_000240.1,Smp_181930,548,"RNA binding protein, putative "
15,6183.Smp_000260.1,927,0.0819848975188781,0.2772384034519957,0.3613807982740021,0.3613807982740021,0.0463861920172599,0.0636461704422869,0.0474649406688241,0.0658036677454153,0.0302049622437971,0.0377562028047464,0.0226537216828478,0.0711974110032362,0.0755124056094929,0.087378640776699,0.0140237324703344,0.0722761596548004,0.0463861920172599,0.0366774541531823,0.0269687162891046,0.0819848975188781,0.0636461704422869,0.058252427184466,0.0215749730312837,0.0302049622437971,0.0203277655215884,0.0017108409346038,6.767737989784067e-05,0.4622786376790079,0.1535852713178294,1,1,6183.Smp_000260.1,Smp_000260,927,Saposin containing protein 
16,6183.Smp_000300.1,1492,0.0871313672922252,0.3378016085790885,0.3378016085790885,0.324396782841823,0.0603217158176943,0.0261394101876675,0.0509383378016085,0.064343163538874,0.0361930294906166,0.0435656836461126,0.0281501340482573,0.0784182305630026,0.0596514745308311,0.113941018766756,0.0194369973190348,0.0777479892761394,0.0288203753351206,0.03485254691689,0.0449061662198391,0.0770777479892761,0.0556300268096514,0.0489276139410187,0.0113941018766756,0.0395442359249329,0.0289946422943586,0.0044554912130249,5.494775306959405e-06,0.4560949752116728,0.619327631266334,1,1,6183.Smp_000300.1,Smp_000300,1492,Similar to WD repeat domain 19-related 
17,6183.Smp_000310.1,248,0.1330645161290322,0.3266129032258064,0.2540322580645161,0.4193548387096774,0.0443548387096774,0.032258064516129,0.0161290322580645,0.0362903225806451,0.0927419354838709,0.0564516129032258,0.0201612903225806,0.1048387096774193,0.0241935483870967,0.157258064516129,0.0161290322580645,0.0241935483870967,0.0564516129032258,0.0282258064516129,0.0443548387096774,0.0766129032258064,0.032258064516129,0.0967741935483871,0.0080645161290322,0.032258064516129,0.0099275133942641,0.0004592732197065,2.761446997931416e-05,0.4259234808810148,0.1044546850998463,1,1,6183.Smp_000310.1,D2013.10,248,D2013.10 
18,6183.Smp_000320.1,219,0.0593607305936073,0.3378995433789954,0.3744292237442922,0.2876712328767123,0.0228310502283105,0.0182648401826484,0.0502283105022831,0.0502283105022831,0.0365296803652968,0.0639269406392694,0.0319634703196347,0.0730593607305936,0.0593607305936073,0.1187214611872146,0.0410958904109589,0.0639269406392694,0.0410958904109589,0.045662100456621,0.0593607305936073,0.0958904109589041,0.0593607305936073,0.045662100456621,0.0045662100456621,0.0182648401826484,0.0167034352347935,0.0014851444535517,5.079356545066158e-05,0.4591327467109469,0.1947888589398023,1,1,6183.Smp_000320.1,Smp_000320,219,"Ndr family, putative "
